"ID","Status_Name","Historical_Step_Status.Duration","Submission_Historical_Status_StartDate","Submission_Historical_Status_EndDate","Historical_Step_Name","process_end","New","Hiring Manager Slate Decision","Phase 2 Employment Application","Hiring Manager Interview","Offer","Additional Interview","Assessment","Assessment 1","Assessment 2","Background Check","Criminal Check","Evaluation","Pre-Employment Screen","Recruiter Interview","Verification Check","Hire"
2,"Extended",9.26e-05,2018-09-05 22:35:00,"43348.940972222219","Offer","In Process",NA,NA,NA,NA,9.26e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Accepted",0.964710648,2018-09-05 22:36:00,"43349.90625","Offer","In Process",NA,NA,NA,NA,0.964710648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Reneged",0.000671296,2018-09-06 21:45:00,"43349.906944444447","Offer","In Process",NA,NA,NA,NA,0.000671296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Draft",0.001145833,2018-09-06 21:46:00,"43349.908333333333","Offer","In Process",NA,NA,NA,NA,0.001145833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Approved",0.000335648,2018-09-06 21:48:00,"43349.908333333333","Offer","In Process",NA,NA,NA,NA,0.000335648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Extended",0.000115741,2018-09-06 21:48:00,"43349.908333333333","Offer","In Process",NA,NA,NA,NA,0.000115741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Approval in Progress",2.31e-05,2018-09-06 21:48:00,"43349.908333333333","Offer","In Process",NA,NA,NA,NA,2.31e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Accepted",0.000497685,2018-09-06 23:12:00,"43349.967361111114","Offer","In Process",NA,NA,NA,NA,0.000497685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Hired",73.840057799,2018-09-06 23:13:00,"NA","Hire","END",6.946284752,23.64640044,0,34.331990741,8.915312466,0,0,0,0,0,0,0,0,0,0,73.840057799
3,"To be Reviewed",1.97087963,2018-11-12 20:45:00,"43418.835416666669","New","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Resume Review Qualified",0.000127315,2018-11-14 20:03:00,"43418.835416666669","New","In Process",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
